"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2020.08.05 8:15 PM GMT","Circuit de Barcelona Catalunya - Grand Prix","IMSA Michelin Pilot Challenge","2020","3","N/A","9","2450",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"21","112","Audi RS 3 LMS","1450","Audi RS 3 LMS","507588","507588","Ale Daniel","29","15","0","Running","-1 L","0","","2:00.900","1:58.712","4","23","0","68","0","3","38","Iberia","2105","2115","16","445","16","465","IMSA Michelin Pilot Challenge","100","0","68"
"22","112","Audi RS 3 LMS","1450","Audi RS 3 LMS","214351","214351","Didier Thibault","32","12","0","Running","-1 L","0","","2:01.514","1:59.065","5","23","5","54","0","2","39","France","2864","2837","16","499","16","497","IMSA Michelin Pilot Challenge","100","0","54"
"23","119","Porsche 718 Cayman GT4 Clubsport MR","2268","GT4 Class","117232","117232","Gumercindo Cabral","18","31","0","Running","-1 L","0","","2:01.806","1:57.158","7","23","13","43","0","3","45","Brazil","1627","1617","15","331","15","320","IMSA Michelin Pilot Challenge","100","0","43"
"24","119","Porsche 718 Cayman GT4 Clubsport MR","2268","GT4 Class","455928","455928","Tony J Phillips","20","32","0","Running","-1 L","0","","2:02.143","1:58.931","5","23","6","36","0","7","22","Florida","1585","1567","15","395","15","396","IMSA Michelin Pilot Challenge","100","0","36"
"25","112","Audi RS 3 LMS","1450","Audi RS 3 LMS","287015","287015","Russell Cowell3","28","21","0","Running","-1 L","0","","2:02.356","1:58.857","5","23","7","40","0","3","36","UK and I","1924","1907","18","268","18","270","IMSA Michelin Pilot Challenge","100","0","40"
"26","112","Audi RS 3 LMS","1450","Audi RS 3 LMS","375705","375705","Victor Ribé","33","20","0","Running","-1 L","0","","2:02.562","1:59.486","4","23","12","27","0","5","38","Iberia","1925","1892","18","248","18","233","IMSA Michelin Pilot Challenge","100","0","27"
"27","122","BMW M4 GT4","2268","GT4 Class","52321","52321","Daniel Mucha","21","30","0","Running","-1 L","0","","2:02.952","1:59.236","17","23","6","29","0","4","42","DE-AT-CH","1638","1608","19","319","19","322","IMSA Michelin Pilot Challenge","100","0","29"
"28","112","Audi RS 3 LMS","1450","Audi RS 3 LMS","411627","411627","Jerome Durand","30","25","0","Running","-3 L","0","","2:17.047","1:58.983","6","21","10","13","0","4","39","France","1780","1735","16","499","16","499","IMSA Michelin Pilot Challenge","100","0","13"
"29","122","BMW M4 GT4","2268","GT4 Class","344217","344217","Markus Fix","11","16","32","Disconnected","-15 L","0","","2:00.163","1:56.915","3","9","5","21","0","3","42","DE-AT-CH","2067","2013","18","228","18","224","IMSA Michelin Pilot Challenge","100","0","21"
"30","112","Audi RS 3 LMS","1450","Audi RS 3 LMS","309727","309727","Cory H Harts","31","14","32","Disconnected","-20 L","0","","2:08.181","1:59.784","2","4","0","6","0","3","25","Carolina","2190","2115","18","267","18","276","IMSA Michelin Pilot Challenge","100","0","6"
"31","119","Porsche 718 Cayman GT4 Clubsport MR","2268","GT4 Class","331541","331541","Tom Mynott","15","26","32","Disconnected","-21 L","0","","2:00.104","","","3","4","14","0","5","36","UK and I","1751","1699","18","261","18","238","IMSA Michelin Pilot Challenge","100","0","14"
"32","119","Porsche 718 Cayman GT4 Clubsport MR","2268","GT4 Class","63243","63243","Cristian Cabrera","9","33","32","Disconnected","-23 L","0","","2:33.922","","","1","9","7","0","4","24","Hispanoamérica","1533","1479","15","352","15","328","IMSA Michelin Pilot Challenge","100","0","7"
"33","119","Porsche 718 Cayman GT4 Clubsport MR","2268","GT4 Class","286978","286978","Ian Gagnon-Renaud","5","5","32","Disconnected","-24 L","0","","00.000","","","0","4","0","0","1","15","Canada","4345","4208","20","457","20","435","IMSA Michelin Pilot Challenge","100","0","0"
