"Start Time","Track","Series","Hosted Session Name"
"2020.11.29 11:25 AM GMT","Sebring International Raceway - International","Hosted iRacing","24HE / Round 2 / Race"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Club ID","Club","Max Fuel Fill%","Weight Penalty (KG)","Session Name"
"10","73","Audi R8 LMS","473","IMSA2 GT3","-201814","-201814","Maniti Racing $NEO Purple","12","9","0","Running","-1 L","0","","2:03.141","2:00.219","4","175","33","","","100","0","24HE / Round 2 / Race"
"10","73","Audi R8 LMS","473","IMSA2 GT3","-201814","286578","Dylan B Scrivens","12","9","0","Running","-","0","","2:03.052","2:00.219","4","118","28","38","Iberia","100","0","24HE / Round 2 / Race"
"10","73","Audi R8 LMS","473","IMSA2 GT3","-201814","295407","Dominic Ollivierre","12","9","0","Running","-","0","","2:03.330","2:00.519","83","57","5","22","Florida","100","0","24HE / Round 2 / Race"
"11","73","Audi R8 LMS","473","IMSA2 GT3","-116646","-116646","RiLey SimRacing","16","83","0","Running","-1 L","0","","2:03.153","2:00.311","85","175","13","","","100","0","24HE / Round 2 / Race"
"11","73","Audi R8 LMS","473","IMSA2 GT3","-116646","49498","Patrick Richter","16","83","0","Running","-","0","","2:02.864","2:00.311","85","59","4","42","DE-AT-CH","100","0","24HE / Round 2 / Race"
"11","73","Audi R8 LMS","473","IMSA2 GT3","-116646","145678","Andreas Leykamm","16","83","0","Running","-","0","","2:03.521","2:00.376","25","57","4","42","DE-AT-CH","100","0","24HE / Round 2 / Race"
"11","73","Audi R8 LMS","473","IMSA2 GT3","-116646","170197","Dominik Pusch","16","83","0","Running","-","0","","2:03.080","2:00.913","174","59","5","42","DE-AT-CH","100","0","24HE / Round 2 / Race"
"12","72","Mercedes AMG GT3","473","IMSA2 GT3","-12725","-12725","Glacier Racing","8","42","0","Running","-1 L","0","","2:03.576","2:00.032","2","175","19","","","100","0","24HE / Round 2 / Race"
"12","72","Mercedes AMG GT3","473","IMSA2 GT3","-12725","55103","Joni Hagner","8","42","0","Running","-","0","","2:03.620","2:00.332","175","64","10","44","Finland","100","0","24HE / Round 2 / Race"
"12","72","Mercedes AMG GT3","473","IMSA2 GT3","-12725","200672","Mikko Ruskola","8","42","0","Running","-","0","","2:03.920","2:00.032","2","55","4","44","Finland","100","0","24HE / Round 2 / Race"
"12","72","Mercedes AMG GT3","473","IMSA2 GT3","-12725","369681","Teemu Korhonen","8","42","0","Running","-","0","","2:03.180","2:00.251","104","56","5","44","Finland","100","0","24HE / Round 2 / Race"
"13","73","Audi R8 LMS","473","IMSA2 GT3","-124633","-124633","EFP Car Collection by TECE","17","11","0","Running","-1 L","0","","2:03.353","2:00.572","4","175","8","","","100","0","24HE / Round 2 / Race"
"13","73","Audi R8 LMS","473","IMSA2 GT3","-124633","167151","Andre Habedank","17","11","0","Running","-","0","","2:03.391","2:00.865","143","59","2","42","DE-AT-CH","100","0","24HE / Round 2 / Race"
"13","73","Audi R8 LMS","473","IMSA2 GT3","-124633","364680","Timon Willms","17","11","0","Running","-","0","","2:03.605","2:00.692","115","58","3","42","DE-AT-CH","100","0","24HE / Round 2 / Race"
"13","73","Audi R8 LMS","473","IMSA2 GT3","-124633","366619","Andreas Fink","17","11","0","Running","-","0","","2:03.068","2:00.572","4","58","3","42","DE-AT-CH","100","0","24HE / Round 2 / Race"
"14","73","Audi R8 LMS","473","IMSA2 GT3","-202910","-202910","MSI eSports Red","13","43","0","Running","-1 L","0","","2:03.420","2:00.222","56","175","29","","","100","0","24HE / Round 2 / Race"
"14","73","Audi R8 LMS","473","IMSA2 GT3","-202910","53998","Alvaro Ramiro","13","43","0","Running","-","0","","2:02.667","2:00.397","91","30","9","38","Iberia","100","0","24HE / Round 2 / Race"
"14","73","Audi R8 LMS","473","IMSA2 GT3","-202910","167379","Álex Ardisana","13","43","0","Running","-","0","","2:03.572","2:00.222","56","145","20","38","Iberia","100","0","24HE / Round 2 / Race"
"15","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","-81269","-81269","Aurys Racing Team ","20","977","0","Running","-4 L","0","","2:05.188","2:02.557","137","172","18","","","100","0","24HE / Round 2 / Race"
"15","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","-81269","192964","Nicolas Varrone","20","977","0","Running","-","0","","2:05.195","2:02.774","85","58","5","24","Hispanoamérica","100","0","24HE / Round 2 / Race"
"15","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","-81269","318053","Carlos  Fenollosa","20","977","0","Running","-","0","","2:05.185","2:02.557","137","114","13","38","Iberia","100","0","24HE / Round 2 / Race"
"16","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","-197680","-197680","HM Engineering 991","21","959","0","Running","-4 L","0","","2:05.245","2:02.595","115","172","13","","","100","0","24HE / Round 2 / Race"
"16","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","-197680","66921","Jordan Weekes","21","959","0","Running","-","0","","2:06.028","2:03.004","53","59","3","36","UK and I","100","0","24HE / Round 2 / Race"
"16","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","-197680","74154","Cooper Murray","21","959","0","Running","-","0","","2:04.701","2:02.770","136","53","3","34","Australia/NZ","100","0","24HE / Round 2 / Race"
"16","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","-197680","97564","Maxim Ramsteijn","21","959","0","Running","-","0","","2:04.942","2:02.595","115","60","7","40","Benelux","100","0","24HE / Round 2 / Race"
"17","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","-125807","-125807","Burst Esport","22","911","0","Running","-4 L","0","","2:05.364","2:02.531","25","172","22","","","100","0","24HE / Round 2 / Race"
"17","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","-125807","52678","Anders Dahl","22","911","0","Running","-","0","","2:05.255","2:02.531","25","116","19","43","Scandinavia","100","0","24HE / Round 2 / Race"
"17","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","-125807","265980","Evan M Marion","22","911","0","Running","-","0","","2:05.593","2:03.234","79","56","3","39","France","100","0","24HE / Round 2 / Race"
"18","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","-108362","-108362","Inertia SimRacing EuroRC.com","19","902","0","Running","-4 L","0","","2:05.354","2:03.006","25","172","19","","","100","0","24HE / Round 2 / Race"
"18","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","-108362","176119","Eero Tuominen","19","902","0","Running","-","0","","2:05.255","2:03.695","170","79","15","44","Finland","100","0","24HE / Round 2 / Race"
"18","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","-108362","295750","Matias Vitikainen","19","902","0","Running","-","0","","2:05.432","2:03.006","25","93","4","44","Finland","100","0","24HE / Round 2 / Race"
"19","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","-79715","-79715","GOTeam Racing","23","907","0","Running","-4 L","0","","2:04.729","2:03.071","19","172","16","","","100","0","24HE / Round 2 / Race"
